Оригинал	Перевод
Velvet Shade Guest	Гость бархатной тени
Song Jiu	Сунь Цзю
Xiaozhi	Сяоцзы
Cen Sheng	Чэнь Шэн
Xuan Lian	Сюань Лянь
Wandering Tales	Активности
Douzi	Дуцзы
Sun Buqi	Сун Буци
Ni Laoshan	Ни Лаошань
Pan Pinxuan	Пан Пинхуань
Peng Qing	Пэн Цин
Wang Dashen	Ван Дашэнь
Pitch Pot Banquet	Торжественный банкет Тоуху
Cloudburst Healing	Облачная вспышка исцеления
Scroll of Flame	Свиток пламени
Professor Backtrack	Профессор Возврат
Xiaoyao	Сяояо
Song Dynasty	Династия Сунь
Shi Xiaoshui	Ши Сяошуй
Prince Ziwu's Ding	Принц Цзыу Дин
Chu Shuiyang	Чу Шуйянь
Meow Meow	Мяу-Мяу
Soulrend Forest-Cloud Steps	Ступени лесного облака Разрыва Душ
Perception Forest Quest	Восприятие Лесного Квеста
Zheng E	Чжэн И
Jia Youyou	Цзя Юю
Windsong	Песнь Ветра
Meng Yi	Мэн И
Hall of Seasons	Зал Сезонов
Bellstrike - Umbra	Удар Колокола - Мгла
Song Jiu	Сунь Цзю
Yan Chuchu	Ян Чучу
Sun San	Сун Сан
Yin Tiantian	Инь Тяньтянь
Liu Baiyu	Лю Байю
Ghost Revelry Hall Swordsman	Мечник Призрачного Зала Веселья
Xiaoba	Сяоба
Wang Dayan	Ван Даян
Sun Sisi	Сунь Сиси
Shadowed Edge	Теневой край
Heavenquaker Spear	Копьё Сотрясателя Небес
Soaring Spin Парящее вращение
Sixteen Lanes Windtail	Шестнадцать Переулков Ветрохвоста
Sandstorm Tavern	Таверна Песчаной Бури
Xuan Lian	Сюань Лянь
Soaring Spin	Парящее вращение
Ruby	Руби
Touhu	Тоуху
Harvestfall Village	Деревня Сбора Урожая
Jianghu	Цзянху
Murong Yuan	Мужун Юань
Qinghe	Цинхэ
Jianlong Temple	Храм Цзяньлун
Plainfield	Равнины
"Master of Grain"	Повелитель Зерна
Stonesplit Attack	Атака "Сечение Камня"
Kaifeng Prefecture	Префектура Кайфэн
Mercyheart Town	Город Милосердного Сердца
Leifeng Pagoda	Пагода Лейфенг
Bladebound Thread	Узы Клинка
Vendetta Mark	Метка Мести
Rodent Hunt	Крысиная Охота
Yao Lingling Яо Линлин
Jin Xiaozhu Цзинь Сяочжу
Sun Yong'an  Сунь Юнъань
Mu Xiangsong  Му Сянсон
Great Song Prefecture Hall  Префектура Великой Сун
Baojin Tower  Башня Баоцзинь
Homey Inn  Уютная Гостиница
Eastern Fence Court  Восточный Двор
Song Sanshi  Сун Саньши
Song Wu  Сун У
Song Yi  Сун И
Song Liu  Сун Лю
Sun Yutang  Сунь Юйтан
Sun Sheng  Сунь Шэн
Sun Yuan  Сунь Юань
Sun Linghai  Сунь Линхай
Sun Wu  Сунь У
Sun Mengliang's Grocery Stall  Ларек Сунь Мэнляна
Sun Bin  Сунь Бинь
Sun She  Сунь Шэ
Sun Hai  Сунь Хай
Wu Yong  У Юн
Liu Yong  Лю Юн
Shi Yong  Ши Юн
Lou Yong  Лоу Юн
Li Yong  Ли Юн
Cai Yong  Цай Юн
Fang Yong  Фан Юн
Zhong Yong  Чжун Юн
Wusun Western Rarity - Xing Западная Редкость Усунь - Син
Wusun Western Rarity - Jinbo Западная Редкость Усунь - Цзиньбо
Wusun Western Rarity - Jinbiao Западная Редкость Усунь - Цзиньбяо
Wusun Western Rarity - Jinzhui Западная Редкость Усунь - Цзиньчжуй
Wusun Western Supreme - Западное Верховное Усунь
Songyuan Сунюань
Wu Songyuan У Сунюань
Yong'an Cloth Trading House Торговый дом Юнъань
Yonghui Administration Управление Юнхуэй
Songshan Mountain Гора Суншань
Lü Yongqiang Люй Юнцян
An unworldly villager Простой деревенский житель
Aunt Liu Тетя Лю
Aunt Zhou Тетя Чжоу
Auntie Tian Тетя Тянь
Bai Dalu Бай Далу
Bai Ji Бай Цзи
Bai Kong'er Бай Кунэр
Bai Mimao Бай Мимао
Bai Min Бай Минь
Bai Rong Бай Жун
Bai Yunsheng Бай Юньшэн
Bai Zhenzhen Бай Чжэньчжэнь
Bai Zhu Бай Чжу
Brother He Брат Хэ
Chai Jin Чай Цзинь
Chen Cheng Чэнь Чэн
Chen Da Чэнь Да
Chen Mei Чэнь Мэй
Chen Qi Чэнь Ци
Chen Quan Чэнь Цюань
Chen Sheng Чэнь Шэн
Chen Shisan Чэнь Шисань
Chen Shu Чэнь Шу
Chen Xiaolan Чэнь Сяолань
Chen Xiaoyu Чэнь Сяоюй
Chen Xidong Чэнь Сидун
Chen Zixi Чэнь Цзыси
Chou Wu Чоу У
Chou Yin Чоу Инь
Chu Qingquan Чу Цинцюань
Commander Xiao Командир Сяо
Dao Buping Дао Бупин
Dian Wei Дянь Вэй
Ding Yuan Дин Юань
Doctor Tian Доктор Тянь
Du Fu Ду Фу
Elder Sun Старейшина Сунь
Elder Yang Старейшина Ян
Empress Wu Императрица У
Fan Ruoshui Фань Жошуй
Feng Dao Фэн Дао
Feng Rusong Фэн Жусун
Feng Ruzhi Фэн Жучжи
Feng Sandao Фэн Саньдао
Feng Shishi Фэн Шиши
Feng Yan Фэн Янь
Feng Yi Фэн И
Feng Yi Фэн И
Feng Yuji Фэн Юйцзи
Fu Bing Фу Бин
Fu Lubao Фу Лубао
Fu Luwa Фу Лува
Fu Rui Фу Жуй
